,Q2,x,z,pt
193,2.19,0.16,0.25,0.6500000000000001
194,2.19,0.16,0.25,0.7500000000000002
195,2.19,0.16,0.25,0.8500000000000002
196,2.19,0.16,0.25,0.9500000000000002
197,2.19,0.16,0.25,1.0500000000000003
198,2.19,0.16,0.35,0.05
199,2.19,0.16,0.35,0.15000000000000002
200,2.19,0.16,0.35,0.25000000000000006
201,2.19,0.16,0.35,0.35000000000000003
202,2.19,0.16,0.35,0.45000000000000007
203,2.19,0.16,0.35,0.5500000000000002
204,2.19,0.16,0.35,0.6500000000000001
205,2.19,0.16,0.35,0.7500000000000002
206,2.19,0.16,0.35,0.8500000000000002
207,2.19,0.16,0.35,0.9500000000000002
208,2.19,0.16,0.35,1.0500000000000003
209,2.19,0.16,0.45000000000000007,0.05
210,2.19,0.16,0.45000000000000007,0.15000000000000002
211,2.19,0.16,0.45000000000000007,0.25000000000000006
212,2.19,0.16,0.45000000000000007,0.35000000000000003
213,2.19,0.16,0.45000000000000007,0.45000000000000007
214,2.19,0.16,0.45000000000000007,0.5500000000000002
215,2.19,0.16,0.45000000000000007,0.6500000000000001
216,2.19,0.16,0.45000000000000007,0.7500000000000002
217,2.19,0.16,0.45000000000000007,0.8500000000000002
218,2.19,0.16,0.45000000000000007,0.9500000000000002
219,2.19,0.16,0.45000000000000007,1.0500000000000003
220,2.19,0.16,0.55,0.05
221,2.19,0.16,0.55,0.15000000000000002
222,2.19,0.16,0.55,0.25000000000000006
223,2.19,0.16,0.55,0.35000000000000003
224,2.19,0.16,0.55,0.45000000000000007
225,2.19,0.16,0.55,0.5500000000000002
226,2.19,0.16,0.55,0.6500000000000001
227,2.19,0.16,0.55,0.7500000000000002
228,2.19,0.16,0.55,0.8500000000000002
229,2.19,0.16,0.55,0.9500000000000002
230,2.19,0.16,0.55,1.0500000000000003
231,2.19,0.16,0.65,0.05
232,2.19,0.16,0.65,0.15000000000000002
233,2.19,0.16,0.65,0.25000000000000006
234,2.19,0.16,0.65,0.35000000000000003
235,2.19,0.16,0.65,0.45000000000000007
236,2.19,0.16,0.65,0.5500000000000002
